Question Number,Question,A,B,C,D,Answer
1,"Claims for a refund of an overcharge in respect of goods carried by a railway or to compensation for the loss, destruction or deterioration of goods delivered to it should be made to the railway administration within _________ from the date of the delivery of the goods for carriage by railway.","two months","four months","six months","eight months","C"
2,"In cases where tour advance is not utilised fully but the adjustment bill is submitted in time, interest at the rate of ______ per annum will be charged on the un-utilised portion of the advance from the date of drawal to the date of refund of the advance.","12.5%","10.5%","5.5%","2.5%","A"
3,"In sanctioning payment of such arrear claims, which one of the following procedure should be observed?","The Administrative authorities should check up the claim with reference to the relevant records","Service Book of the individual should accompany proposals for sanction of arrears of establishment claims","Both (1) and (2)","None of the above","C"
4,"The period of limitation of Gratuity is ________ from the date when the claim fell due against Government for payment.","3 years","6 years","12 years","5 years","B"
5,"If the claim is preferred after three years subsequent to the year in which the payment was due, it will be summarily rejected by Government except:","when money due to a local body has been credited to General Revenues by a mistake on the part of a Government Officer","when the local body concerned is in a position to establish that it had no direct means of ascertaining earlier the mistake, provided that the amount involved exceeds Rupee one","both (1) and (2)","None of the above","C"
6,"If the expenditure in excess of the appropriation has to be incurred, the Chief Controlling Officer should see that a supplementary appropriation/advance from the _______ is obtained in time before incurring excess expenditure.","Contingency Fund","Consolidated Fund","Suspense account","None of the above","A"
7,"______ should be returned to the Accountant General, indicating on the reverse, the action taken to check the flow of expenditure or to obtain a supplementary appropriation, if excess expenditure is unavoidable.","Letter of Credit","Warning Slips","Credit Slip","None of the above","B"
8,"To meet contingency, ________ of the Constitution has provided that the State Legislature may make an advance grant, as a ""Vote on Account"", to meet the estimated expenditure for a part of the new financial year.","Article 203 (1)","Article 204 (1)","Article 205 (1)","Article 206 (1)","D"
9,"The Legislature can also make a ________ , which forms no part of the current service of any financial year.","Exceptional Grant","Demand for Grant","Finance Grant","None of the above","A"
10,"A reduction made by the Assembly in a Demand for Grant will be distributed by the _______ among the various heads included in the Grant.","Controlling Officer","Sub Controlling Officer","Finance Department","None of the above","C"
11,"The Comptroller and Auditor-General is also required to submit to the President annually under paragraph 12 of the Audit and Accounts Order, 1936, a _________ incorporating a summary of the accounts of the Central Government and of all the States for the last proceeding financial year in such form as he with concurrence of the President.","Annual Financial Statement","General Financial Statement","Provisional Financial Statement","All of the above","B"
12,"Government system of accounts, being on a purely cash basis, is unsuitable for commercial accounts, therefore these accounts are usually kept on a ________ basis outside the general accounts of Government.","proforma","profit and loss","trading","manufacturing","A"
13,"The accounts of Government are based in the main on the single entry system and double entry system is applied only in regard to the maintenance of a set technical accounts called the ________","Journal","Ledger","both (1) and (2)","None of the above","C"
14,"The Government accounts of a year may be kept open for a certain period in the following year of completion of the various accounting process inter alia in respect of the transaction of March for the carrying out of certain inter-departmental adjustments and for the closing of the accounts of several ________","Provident Funds","Suspense heads","both (1) and (2)","None of the above","C"
15,"The Section ""Public Debt, Loans and Advances, etc."", of the second division shall comprise loans raised by the Government which is _______","internal debt and their repayments","external debt of the Central Government","loans and advances made by the Government and their recoveries","all of the above","D"
16,"The Heads of Departments and offices shall see that the advance i.e. grant of immediate relief to the families of employees who die in harness, is adjusted as early as possible, and in any case within a period of ________ from the date of sanction.","three months","six months","twelve months","twenty four months","B"
17,"The Policy holder should himself remit the first _________ of insurance premia direct to the Life Insurance Corporation of India at the time of proposing for insurance.","Three instalments","One instalment","two instalments","none of the above","C"
18,"It is the duty of the policyholder to inform his Drawing Officer of his intention to deduct premia from his salary regularly and to ensure that the premium is deducted from his salary every month.","incorrect","correct","as per the discretion of the insurance company","none of the above","B"
19,"If, however, the period of default exceeds ________ , the arrears of premia are to be remitted with interest direct to the Life Insurance Corporation and conditions of revival of the policy as stipulated by the Corporation are to be satisfied.","one month","three months","six months","twelve months","C"
20,"In addition to the postal charges ect., a commission of _______ will be paid to the Government calculated on the total collections remitted to the Life Insurance Corporation by the Non-Banking Treasuries.","1/8 percent","1/4 percent","1/2 percent","1/10 percent","A"
21,"Duty of the Inspecting Officer in checking revenue collection is","The Inspecting officer will compare the entries in the counterfoils in the printed counterfoil receipts book with those in the register of collections and with any original receipt they may be able to obtain from the persons to whom they were issued","The officer will check the totals in the Register of collections and will see that the amount shown as collected agrees with the total of the amounts paid into the Treasury as shown in the chalan and the cash in the hands of the Government servant","The comparison will be made from the time of the last inspection and the accounts should be inspected on the spot at least once every year","all of the above","D"
22,"Every executive authority of a Municipal Council or City Corporation and Village Officer should report immediately to the disbursing officer concerned the death of any person who was residing within his jurisdiction and drawing a Government pension, whether civil military, political or of any other kind","incorrect","correct","as per the discretion of the executive authority","none of the above","B"
23,"Travelling allowance bills and acquittance rolls relating there to should be preserved for _________","3 completed years","5 completed years","7 completed years","none of the above","A"
24,"__________ means an account with a contractor on which payment for work or supplies is made to him at convenient intervals subject to final settlement of the account on the completion or determination of his contract.","Running Contract","Running Account","Rate Contract","none of the above","B"
25,"The responsibility for recovering rent in respect of those in charge of the Public Works Department which are used wholly or partially as residences rest mainly on the _______ of the Division in which the building is located.","Superintending Engineer","Executive Engineer","Chief Engineer","none of the above","B"
26,"Under ________ of the Constitution of India, a statement of the estimated receipts and expenditure of the State for each financial year has to be laid before the Legislature. This statement is known as the Annual Financial Statement.","Article 202","Article 102","Article 302","none of the above","A"
27,"Which one of the following officers has to be reconcile their figures, of expenditure with treasury figures, before forwarding them to the superior controlling authority?","District Registrars","District Collectors","District and Sessions Judge","all of the above","D"
28,"Director of Industrial and Commerce is the estimating officer of","Loans to Government Companies","Loans to Malabar Spinning and Weaving Company Ltd., Calicut","Loans to Private Electrical Undertakings","all of the above","D"
29,"The Chief Conservator of Forests will obtain statements, also by the same date, from the Disbursing Officers working directly under him, and will them consolidate, in Form _______ , his own expenditure and that shown in the circle and other returns, so that he may watch expenditure of the Department as a whole against the sanctioned appropriation.","KBM 21","KBM 11","KBM 31","none of the above","A"
30,"All Gazetted Officers should, in respect of their personal claims, forward to the Controlling Officers concerned, monthly statement of bills drawn, showing, inter alia the budget classification, gross amount of the bill, deduction made, net amount of the bill, nature of the claim, date of encashment, and the period to which it relates","correct","incorrect","as per the discretion of controlling officer","none of the above","A"
