Question Number,Question,A,B,C,D,Answer
1,"The formal acceptance by an administrative – department of a proposal that Public Works Department should incur a specified amount of expenditure is called","Financial Sanction","Technical Sanction","Work order","Administrative Approval","D"
2,"A single payment made to a contractor in full settlement of the account relating to his contract when the contract has been completed is","Part payment","Final payment","First and Final payment","Running contract","C"
3,"The lowest account head under which the Government places a specific appropriation at the disposal of the spending authority is","Major head","Minor head","Sub head","Unit of appropriation","D"
4,"The Municipal tax assessed on a private building rented and utilized for government purpose, be paid by","The department concerned utilized the building","Owner of the building","Public works department","District collector","B"
5,"For preparation of indent towards the requirement of stores and its purchase the list may be prepared on the basis of the consumption during the previous __________ years.","One year","Two years","Four years","Three or Five years","D"
6,"The daily collection of money received should be remitted into Treasury on __________ day.","Same week","Last day of the same week","Next working day","As early as possible","C"
7,"A claim against the Government not preferred within __________ years of its becoming due requires the sanction of Head of Department to be paid.","Two years","Three years","Four years","Five years","A"
8,"Regarding collection and remittance of money into treasuries and its accounts, the chief controlling officers should furnish a certificate regarding reconciliation done to the finance department to the effect on __________ every year.","30th September every year","31st March every year","30th September and 31st March every year","1st April every year","C"
9,"Regarding store materials/articles, the rate of EMD is __________ of the assessed value of articles to be sold.","One percentage","Two percentage","Five percentage","2.5 percentage","A"
10,"The selection of Inspecting officers rest with","Government","Head of Department","Head of Department and District Officers as the case may be","Kerala Public Service Commission","C"
11,"Whenever any pension remain undrawn for __________ months the disbursing officer should immediately ask the village officer concerned inform him at once whether the pensioner is still alive or not.","Five years","Four years","Three years","Three months","D"
12,"When did the rent of a Government building once fixed can be revised?","Once in every Five year","Once in every Ten year","Once in every Three year","When there is change in capital cost","D"
13,"The Form No 1(A) containing the name, designation and emoluments to be furnish by the head of office to whom?","District Treasury Officer","Sub Treasury Officer","Executive Engineer","Accountant General","C"
14,"The transfer of Government lands from one department to another shall be ordered by","The department who transfer the land","The department who receive the land","District collector","District collector and the Board of Revenue based on the area of land transferred","D"
15,"In the case of water supply and drainage schemes Government have promised a grant on the post-payment system, the local body concerned should prefer its claim for the grant within __________ months of the execution of the work.","Three months","Six months","Nine months","One year","B"
16,"When the rent of a Government building reduced as applied by the tenent with retrospective effect, the rent deducted in excess shall be repaid in","Refunded in one instalment","Refunded in two instalment","Refunded in three instalment","The rent to be refunded should be adjusted in subsequent month and if this is impracticable by repayment in cash","D"
17,"In the case of rent of Govt building, a tenent who is in receipt of a pension should be treated as a person","A person in Government service","A person not in Government service","Treated in Government service for a period of 6 months from the date of retirement","Treated in Government service for a period of 12 months from the date of retirement","B"
18,"Regarding the remittance books maintained at each court, all stamp penalities should be brought into","Stamp","Court of Law","Cash book","Daily remittance register","A"
19,"The sales price of Government publications should be fixed at __________ rate of the cost price.","25% above the cost price","30% above the cost price","40% above the cost price","50% above the cost price","D"
20,"Amount due to Government from local bodies shall be deducted by way of","Deducted from local bodies from the plan fund","Permitted to the local bodies to remit in five instalment","Written off by Government","Shall be subject to recovery by adjustment from the Grant-in-aid sanctioned by Government","D"
21,"Application for exgratia refund of revenue if it is received after __________ period should be rejected.","If it is received after six months from date of credits of revenue to Govt account","If it is received after one year from the date of credit of revenue to Govt account","If it is received after two year from the date of credit of revenue to Govt account","None of the above","B"
22,"From the following which is related with the ‘standards of financial propriety’?","the officers dealing finance matter is quite regular in there duties","proper receipt should be issued while receiving money","the expenditure should not be ‘prima facie’ more than the occasion demand","the controlling officers should sign the original receipt of money","C"
23,"All appropriation provided in the annual finance statement lapse on","Last day of the Calendar year","Last day of the financial year","Balance amount of appropriation carried over the new financial year","None of the above","B"
24,"Remission of revenue means __________ of the following.","Abandonment of a claim of revenue arising from taxation laws","Abandonment of a claim of revenue arising from land revenue","Abandonment of excess salary drawn","(A) and (B) above","D"
25,"From the following which one is not need be forwarded to the Accountant General in the ease of non gazetted employees","Order sanctioning house building advance","Order sanctioning advance for the purchase of motor car","Order sanctioning the advance for the purchase of motor cycle","Order sanctioning fixation of pay due to retrospective promotion to non gazetted employees","D"
26,"The word “essentiality certificate” related with which one of the following","Erronious fixation to pay due to promotion","Fixation of pay due to ratio promotion","Medical reimbursement claim of Govt. employees","The first salary of a government servant","C"
27,"Scholarship become due for payment on","The last day of the month in which they are earned","Three days before the last day of the month in which they are earned","First day of next month in which they are earned","None of the above","A"
28,"The payment of any arrear claim to a non-gazetted Government employee should be noted in __________ register.","Pay bill register","Acquittance register","Service book","Incumbency register","C"
29,"Who will issue the ‘warning slip’?","Head of Department","Drawing Officer","District Treasury Officer","Accountant General","D"
30,"Who is responsible for the auditing of all expenditure charge against the Government?","Accountant General","Inspecting Officers","Finance Department","Head of Department","A"
31,"The time limit to furnish the reply to audit objection is","Within seven days from the date of receipt from Accountant General","Within a fortnight from the date of receipt of the objection","Within a month from the date of receipt from the Accountant General","None of the above","B"
32,"The first replies to inspection report should be sent within __________ from the date of receipt.","Within four weeks","Within two weeks","Within 15 days","Within three months","A"
33,"The nature of a supernumerary post is","Permanant post","Substantive post","Tenure post","Shadow post","D"
34,"From the following which department claimed and disbursed the monthly salary on 2nd working day is","Police and fire and rescue","Medical and Public heath","Animal husbandary","State water transport","B"
35,"The amount of each Railway warrants should be noted in __________ colour ink in the contingent bill.","Blue","Red","Black","Green","B"
36,"From the following officers, who is not eligible to use Railway warrants when travelling on duty?","Senior Civil Police Officer","Sub Inspector of Police","Inspector of Police","Deputy Superintendent of Police","D"
37,"As per KFC Vol I, when Government servant is admitted to GPF scheme, the provident fund account number should be noted on the __________ page of the service book.","Right hand top of page one","Left hand top of first page","Right hand top of second page","Left hand top of second page","A"
38,"The percentage of deduction from salary in execution of any decree for maintenance is","1/3 of the salary","30% of the salary","1/5 of the salary","20% of the salary","A"
39,"The permanant advance of a Head of Department may be sanctioned by","Legislature","Governor","Government","Finance Minister directly","C"
40,"The procedure for maintaining cash book is lays down in __________ rule of KTC Vol I.","Rule 92 (a)","Rule 90","Rule 116","Rule 115","A"
41,"The competent authority to audit and report on the accounts of store and stock kept in any officer or department of the union or of a state is","Head of each department","Store Purchase Wing","Director General of Supplies and Disposals","Comptroller and Auditor General of India","D"
42,"Who is the competent authority to audit all receipts which are payable into the consolidated fund of India of each state and of each Union Territory?","Director of Treasuries","Local Fund Audits Department","Comptroller and Auditor General of India","Each Head of Department","C"
43,"The expenditure on account of burial charges of unclaimed bodies of patients dying in hospitals and which are subject to post-mortem examination for pathological and teaching purposes shall be met by __________ department.","A respective Local Body","Revenue Department","Relatives of the patient who died","Health Service Department","D"
44,"The purchase of elephant charged from contingent charges requires sanction from","Respective department","District collector","Chief conservator of forest","Government","D"
45,"The purchase of new animals by exchange of animals of equal value requires the sanction of","Director of Museums and Zoos","Government","Director Animal Husbandary","Police Department","A"
46,"When prisoners are taken by rail using railway-warrants, the railway warrant is in __________ method.","Single warrant for prisoners and police officers required","Separate railway warrants required for policemen and prisoners","No railway warrant allowed to prisoners","None of the above","B"
47,"The Form of register of bills sent to Local bodies and other Departments is","KFC Form No. 2","KFC Form No. 3","KFC Form No. 4","KFC Form No. 4 A","B"
48,"The Form of Register of court attachment of pay is","KFC Form 5","KFC Form 4 A","KFC Form 27 A","KFC Form 15","B"
49,"The form prescribed for report of transfer of charge is","KFC Form 9 A","KFC Form 9 B","KFC Form 10","KFC Form 7","D"
