Question Number,Question,A,B,C,D,Answer
1,"The formal acceptance by an Administrative Department of a proposal that the Public Works Department should incur a specified amount of expenditure of a specified work is","Financial sanction","Administrative Approval","Technical sanction","Appropriation","B"
2,"A financial transaction which does not involve any actual receipt or disbursement of cash by Government and made entries in the Govt. account is","credit transfer","book adjustment","re-appropriation","appropriation","B"
3,"From the following which is not treated as Government Revenue","Deposits received from various sources","Land revenue","State taxes and duties","Fines and penalities","A"
4,"Revenue collected in one district on account of another should be credited in the Treasury account of","Account of the District to for whom the amount received","Account of the receiving district","Kept suspense account","Kept under M.P.W. account","B"
5,"Who will select the Inspecting officers in checking Revenue collection?","Kerala Public Service Commission","Through by-transfer appointment","Finance Department","Heads of Department","D"
6,"The responsibility for recovering rent inrespect of the buildings incharge of Public Works Department used as residences rest mainly with","Executive Engineer","Chief Engineer","Superintending Engineer","Assistant Engineer","A"
7,"Which form is used by Drawing officer for preparing the demand statement of rent for Government buildings used as residence and send to Treasury Officer?","Form No.1(A)","Form No.1(B)","KFC Form 21","KFC Form 22","B"
8,"Who shall present the Annual Finance statement before the Legislature every year?","Governor","Speaker","Finance Minister","Deputy Speaker","C"
9,"The budget is presented to the Legislature towards","The end of February or beginning of March","First week of February","After 15th of March","First week of January","A"
10,"The legal authority for the withdrawal of money from consolidated fund of the state is","demand for Grant","supplementary demand for grant","appropriation act","vote on account","C"
11,"An expenditure made in excess of the budget grant become unavoidable and supplementary grant has obtained, such project is termed as","Budgeted work","Revised Budgeted work","Works on voted expenditure","New service","D"
12,"Who shall examine the audit report of Comptroller and Auditor General of India and satisfy that the budget grant has been spent by the Executive for the purpose for which it was intended and in amounts intended","Finance Department","Public Accounts Committee","Legislature Committee","All the above","B"
13,"The purchase of Arms and Ammunition requires the sanction of","Inspector General of Police","Deputy Inspector General of Police","Government","All the above","C"
14,"From the following, officers authorised to incur secret service expenditure is","Director General of Police","Director Vigilance and Anti Corruption Bureau","Commissioner of Excise","All the above","D"
15,"The Form of detailed Countersigned contingent bill is","KFC Form 11","KFC Form 10A","KFC Form 12","KFC Form 13","A"
16,"Cost of land acquired for a specific work shall be recorded as","separate expenditure on purchase of land","miscellaneous expenditure","the cost met by Revenue Department","part of the cost of the work","D"
17,"The Comptroller and Auditor General of India derives his powers and duties in relation to Accounts of Union and States from Article _______ of the Constitution of India.","Article 149","Article 150","Article 151","(1) and (2) above","D"
18,"Contingency of the state is at the disposal of","Finance Minister","Chief Minister","Governor","None of the above","C"
19,"When any building is let to a person not in the service of Government, the assessed rent for each month always be recovered","the rent be recovered in advance","the rent be recovered for the next month only","the rent be recovered between 15th and 30th day of each month in which the rent relate","None of these","A"
20,"The remittance book maintained by court with the head ""Court of Law"" which type of remittance of the following are brought in it","all fees and fines realised by court","all items of civil or criminal realised by court","all stamp penalities realised by court","(1) and (2) above","D"
