Question Number,Question,A,B,C,D,Answer
1,"Beriz deductions and Tasdic allowances are :","Allowances paid in lieu of the rights enjoyed by some former Rajas and Chieftains","Allowances paid to some Jenmis and other persons in the state","Allowances granted to some religious institutions and also to persons for various reasons, such as for services to be rendered in lieu of resumption of lands by Government","None of the above","C"
2,"Expenditure on ceremonies connected with the inauguration of important works like laying foundation stones of Public buildings, opening of canals or bridges etc. should be arranged by :","The Contractor who had carried out the work","Local Enthusiasts","Local Self Government Department","Public Works Department","B"
3,"A Chief Controlling Officer should keep a close and constant watch over the progress of expenditure in respect of :","A plan and non plan Expenditure","Charged Expenditure","Voted Expenditure","All expenditure whether voted or charged, plan or non plan","D"
4,"The State Legislature has the power to make a grant for meeting an unexpected demand upon the resources of the state is known as :","Vote of credit","Vote on account","Appropriation","Excess grant","A"
5,"How many methods can be adopted for execution of works?","Four","Three","Two","Five","D"
6,"Who will represent Government and tender evidence before the Public Accounts Committee?","Chief Secretary","Head of the Department","Secretary to Government in the Administrative Department","Legislature Secretary","C"
7,"Following are the various kinds of deposits coming under personal deposits except one item. Identify it :","Treasury Cash orders","Copying Fees","Wards’ Estates and attached Estates","Official Receivers and Official Assignees’ Deposits","B"
8,"How the financial accountability of the Executive to the Legislative is secured through?","Reports of the Comptroller and Auditor General (Audit Report)","Demands for Grants","Presentation of Annual Budget","Warning slips of the Accountant General","A"
9,"The period of destruction of records connected with cash book and classified ledger, stock register of Furniture (stores) etc and Treasury Remittance Books :","10 years after AG’s Audit","7 years after AG’S Audit","5 years after AG’S Audit","They should on no account be destroyed","D"
10,"Who draws the advance amount for removal of encroachments?","Village Officer","Revenue Divisional Officer","Tahsildar","District Collector","C"
11,"Under what percentage of the grant received by the Library from Government each year should be utilized for the purchase of new books for the Library?","75","60","50","90","A"
12,"Who administers the Contingency Fund?","Governor","Finance Department","Finance Minister","Director of Treasuries","B"
13,"What will be issued by the Audit Staff during the course of local inspection?","Check list","Memos","Audit Enquiry","Test Audit Notes","B"
14,"Identify the one which is not included under civil advances :","Advance on transfer","Medical Advance","Advances for demarcation purpose","Mosquito net advance","C"
