Question Number,Question,A,B,C,D,Answer
1,"A written order addressed by a person called the “drawer” to a bank or treasury to pay a specified sum of money to himself or a third-party is known as :","Demand draft","Cash order","Cheque","All the above","C"
2,"A single payment made to a contractor in full settlement of accounts relating to a contract which is completed is termed as :","Intermediate payment","Past payment","First and final payment","Secured advance","C"
3,"The documents required in connection with the giving out of a work on contract is :","Contract","Contract documents","Power of attorney","Indemnity bond","B"
4,"The charges made for supplying water from Government sources for irrigation include in :","Local fund","Capital fund","Government Revenue","None of the above","C"
5,"If some arrears still remain uncollected and the authority satisfied that any portion of them is quite irrecoverable further action to be taken is :","The authority can order to write off the arrear without sanction of the competent authority","The authority should take immediate step to obtain necessary sanction for the irrecoverable arrears to be written off","The competent authority issue order to recover the arrear through Revenue Recovery procedure","File civil suit against the debtor","B"
6,"Which one of the following circumstances permit to remit the money collected at least once in a week into treasury?","The authority competent to sign the challan not at head quarters","The money collected through postal money order","The money collected by subordinate officers where they have no cash book","The remittance from the next day of the receipt of money is not possible owing to distance from treasury","D"
7,"If a Government servant has been mislead or deceived in financial matters and thereby caused any loss to Government, who will be responsible for the loss?","The government servant misleaded or deceived","The Government servant concerned who is misleaded and his immediate supervisory officer","Equal responsibility to all officers deal with the subjected file/financial matter","If the misleaded or deceived employee is a newly recruitee, the loss will write off","A"
8,"All receipt of revenue should be noted in the departmental accounts at the time :","After credited into Treasury","Before being credited into Treasury","To be noted in the department accounts once in a week","To be noted in the department accounts once in a month","B"
9,"The chief controlling officers should get quarterly reports on the progress of ___________ in respect of departmental receipt from their subordinate controlling officers.","Reconciliation work made with treasury","Reconciliation made with the figures booked in the office of the District level officers","Reconciliation statement obtained from the Accountant General","None of the above","A"
10,"The selection of inspecting officers rest with :","Government","Finance Department of Government","Head of departments/District officers","Selection through PSC","C"
11,"Government buildings falls under _____________ categories.","one","two","three","four","B"
12,"When did the rent of a building owned by Government once fixed is revised?","Once in every five year","Once in every 10 year","When there is a change in capital cost of the building","After every periodical maintenance","C"
13,"The head of office under whom the tenant working furnish to the Executive Engineer not later than ______________ showing the details of the employees with salary details.","Every 25th of the each month","Not later than 15th of every month","First working day of each month","Last working day of each month","D"
14,"Form No. 1(A) related with :","Name and designation of the head of office","Name of the treasury from where the salary drawn","Total number of employees included in the bill","The name, designation and emoluments etc., of Government servants who occupy government quarters","D"
15,"The demand statement of rent is in _____________ form.","Form No. 1(A)","Form No. 1(B)","Form No. 1(C)","Form No. 23(A)","B"
16,"When a tenant wish to apply for a revision of rent of the government building he occupies, the application for such revision shall be before :","The Head of department of the employee working","The Executive Engineer concerned","The District Collector","Finance Department","B"
17,"When a government building is let to a person not in government service, the rent of each month always be deducted?","Rent shall be deducted from the 1st day of the succeeding month","Rent shall be deducted in every last day of the respective month","Rent shall be paid any working day of each month","Rent shall be paid in advance","D"
18,"How many remittance books are maintained at each courts?","One","Two","Three","None of the above","B"
19,"Pricing of stationery articles are governed by the rules and orders issued by ––––––––– from time to time.","Government","Controller of stationery","Director of printing","Government press","A"
20,"The estimated amount of services to be rendered by government on account local bodies should be ordinarily be required to be paid in :","After the service done","Paid in advance","Half of the estimated amount be paid in advance and balance after completion","As decided by the service department","B"
21,"A refund of revenue where government have no legal obligation to refund it is called :","Refund of revenue","Compulsorily refund","Exgratia refund","None of the above","C"
22,"The abandonment of claims of revenue (arising from taxation laws) without exhausting all avenues of recovery is termed as :","Remission of revenue","Waiver of revenue","Exemption of revenue","All the above","A"
23,"The term ‘Standards of Financial Propriety’ mean :","The expenditure should not be prima facie more than the occasion demand","A Government servant should not exercise his powers of sanctioning expenditure so as to pass an order directly or indirectly","Public money should not be utilised for the benefit of a particular person as per conditions there on","All the above","D"
24,"Who have the power to incur any expenditure?","Accountant General","Government","Head of Department","Director of Treasuries","B"
25,"Every order sanctioning expenditure should be forwarded to whom?","Finance Department","Treasury Director","Head of Department","Accountant General","D"
26,"Whose sanction is needed for the disbursement to pay and allowances of non gazetted government servants whose names are not required to be shown in the pay bill?","Government","Accountant General","Head of Department","District Treasury Officer","A"
27,"Pay and allowances of government servants become due for payment on :","on the last working day of every month","on expiry of the month to which the claim relates","three days before the last day of every month in which the claim relate","none of the above","B"
28,"The Administrative Department in the Secretariat may sanction an arrear claim if the monetary value as per KFC Vol I does not exceed Rs. _____________ without consulting Finance Department.","Rs. 1,000","Rs. 500","Rs. 1,500","Rs. 5,000","B"
29,"Who is responsible for the auditing of all expenditure charged against the government?","Inspecting officers of all department","Accountant General","District Treasury Officers","Head of department","B"
30,"The word ‘Warning Slip’ related with which one of the following?","If any item of expenditure is found to be irregular","If any item of expenditure is found in excess","An intimation issued by the Accountant General to Treasury officers to recover the excess amount paid","All the above","D"
31,"Recoveries from a government servant should not be made at a rate :","Should not be made at a rate exceeding one-third of his pay","Should not be made at a rate exceeding half of his pay","No such limitation","None of the above","A"
32,"The serial number provided for each audit objections provided in the audit objection register be entered in column no. _____________ of the audit objection register.","Column No. 1","Column No. 2","Column No. 3","Column No. 4","A"
33,"A post created to accommodate the lien of an officer is called :","Permanent post","Temporary post","Tenure post","Supernumerary post","D"
34,"Under which situation, the counter signature is not necessary in RTC (Report of Transfer of Charge)?","The RTC are jointly signed by the relieving and relieved officer","When a gazetted officer assumes charge of newly created post","When a gazetted officer vacates a post for a short period and no formal arrangement is made in the place of relieving officer","All the above","D"
35,"The pay and allowance of government servant on the date of death is admissible subject to which one of the following circumstance?","The salary for the date of death is eligible without considering the hour at which the death-take place","The salary is eligible if the death take place on the AN of the day of death","The salary is eligible if the employee is on duty at the time of death","None of the above","A"
36,"The amount of each Railway warrant should be noted in ___________ colour ink in the traveling allowance register.","Blue","Black","Blue or Black","Red","D"
37,"When Government Servants are transferred from one office to another office their service books should be forwarded to the new office as soon as possible within __________ period.","within two weeks","within one month of the transfer","within two months of the transfer","no time limit prescribed","B"
38,"The form of Attachment Register is :","Form 4A","Form 23A","Form 24A","Form 24","A"
39,"Advances granted to officers so as to meet unforeseen expenses often is called :","Temporary advance","Permanent advance","Advance on contingencies","None of the above","A"
40,"The form of contingent register is in __________ form.","Form 20","Form 20A","Form 17","Form 10","B"
